doc_id,source_file,chunk_index,text,section_type,chunking_strategy,language,source_type,source_title,source_author,act,bbox,char_end,char_start,collection_id,confidence,content_hash,doi,frame_index,image_height,image_width,isbn,keywords,lemmas,line_number,modality,normalized_text,ocr_engine,page_number,paragraph_index,parent_doc_id,raw_dtype,raw_shape,scene_number,source_date,stems,timecode_end,timecode_start,tokens,total_frames,url
410dab4b49e67fc2,AI_Generated_Image_1ix.png,0,"Tic dinBviic rvacews novov enpietov
10 8idoKew 8 éoriv dvvacbat.",text,sentence,,image,,,,,64,0,,0.7725,bea1eb80e51690490f59fc848bfa0e67,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
2210dd8a626dbe1c,AI_Generated_Image_1ix.png,1,"If you can’t explain
it to a six-year-old,

‘Wenn du es nicht einfach
erklaren kannst, hast du
dues nicht wirklich

you don’t really | |
MH) understand it.",text,sentence,,image,,,,,220,65,,0.7725,46c2efda1015b4a1245705a463929029,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
5304e63f23da9693,AI_Generated_Image_1ix.png,3,"f
If you cannot explain
» it simply, you do not
understand it well enough.",text,sentence,,image,,,,,309,235,,0.7725,c7f3dd524883a5a6fb6e3daff3f5f404,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
1d539213b6077603,AI_Generated_Image_1ix.png,4,"nage VIII ND TRON

= eR mows net
say Don NNT PID |

‘ApiotoréAng + AABEavSp0¢_ 3 Richard P. Feynman i Albert Einstein

384-322 BC - 356-323 BC | Mieza, Macedonia 1918-1988 | New York, USA —> Princeton — Pasadena 99-1955 | Ulm — Princeton

A physics law
| should be simple ~~:
| enough to explain Aa) a

to a bartender.",text,sentence,,image,,,,,629,311,,0.7725,58a1d996ab91b7146518ecb8af76bbe3,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
ef0a17f0384ca369,AI_Generated_Image_1ix.png,5,"aa ve, r)
| He tangata ture
ahupiingao ka taea
te whakamarama
|| kite kaitawara.",text,sentence,,image,,,,,710,630,,0.7725,7437451383e27a4b2fd72c4187974258,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
00ee0bb6c18ba0ad,AI_Generated_Image_1ix.png,6,"Pep matterhow much you koov
‘your words reach only as far as the
other person can understand,

\ Auth $9) glen alas Y CS lb cle Lge } y

Ernest Rutherford P Mevlana
1871-1937 | Nelson, NZ > Cambridge a _—_ waarmee, 3 | Balkh > Konya

Scholar Scholar Merchant

Simplicity is the mark
7 of | true knowledge.",text,sentence,,image,,,,,1017,712,,0.7725,972a53ea665db38e3f8cc36cc610021b,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
392e42a2a7143e89,AI_Generated_Image_1ix.png,7,"a (Focused)  (Pocused) | (Distracted)

Child
(Innocent)

You may know all the worlds, but the conversation sto,
} at the other person’s intelligence and vision.",text,sentence,,image,,,,,1179,1019,,0.7725,3ac92b425ca8bc3740c37f98049b9203,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
2ac18b2eaccbc547,AI_Generated_Image_1ix.png,8,"Knowledge is
not limited by the speaker.",text,sentence,,image,,,,,1220,1180,,0.7725,1c04cd50e77bc822f8121b99b9038ad7,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
f595fa69c1430ead,AI_Generated_Image_1ix.png,9,It is limited by the listener.,text,sentence,,image,,,,,1251,1221,,0.7725,5f38ba35ceb266f2dd33e54ec40cc294,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
5d4cc2169df9fad0,AI_Generated_Image_1ix.png,10,"Mevlna's Wisdom
1207-1273 | Balkh + Konya",text,sentence,,image,,,,,1294,1253,,0.7725,9ff39a26f3bc34a89482253c68bbe2a0,,,1024,1024,,,,,text,,tesseract,0,,,,,,,,,,,1,
